model,case_name,time_s,field_rmse,field_mae,coefficient_rmse
ExtraTrees,surrVal_035_H0327_obsH0068_x0308,0.975,0.15336201440913985,0.05327982016214425,0.7933425411316317
ExtraTrees,surrVal_036_H0318_obsH0031_x0379,0.975,0.10418994700523619,0.033127566161193216,0.5440406089906589
ExtraTrees,surrVal_037_H0311_obsH0067_x0320,0.975,0.14434476032239668,0.04903895533989945,0.8522965938340863
ExtraTrees,surrVal_038_H0321_obsH0047_x0332,0.975,0.1137319805031813,0.03735492083832573,0.6675082291941117
ExtraTrees,surrVal_039_H0297_obsH0034_x0301,0.975,0.11557713406856653,0.03608154533717489,0.695968402293417
ExtraTrees,surrVal_040_H0266_obsH0040_x0355,0.975,0.12931702561274044,0.04023143633031866,0.7909489281203199
ExtraTrees,surrVal_041_H0264_obsH0063_x0270,0.975,0.09702779359768134,0.030532058736396243,0.470435652545415
ExtraTrees,surrVal_042_H0355_obsH0044_x0360,0.975,0.11787392016199791,0.04072715939258032,0.6956129348318784
ExtraTrees,surrVal_043_H0347_obsH0056_x0326,0.975,0.13149287296422915,0.046795337666695656,0.6913613605876008
ExtraTrees,surrVal_044_H0272_obsH0045_x0230,0.975,0.1238270570002478,0.03896272851906622,0.7230993382979805
ExtraTrees,surrVal_045_H0330_obsH0072_x0333,0.975,0.1510872072385905,0.05357363650145736,0.8750579824831142
ExtraTrees,surrVal_046_H0253_obsH0037_x0256,0.975,0.10112336991587531,0.02777989886224818,0.6017952660066985
ExtraTrees,surrVal_047_H0276_obsH0045_x0251,0.975,0.10102485373978431,0.029872905414786002,0.6141636665074734
ExtraTrees,surrVal_048_H0363_obsH0056_x0328,0.975,0.12854566817808943,0.04666673854653945,0.7486755933379613
ExtraTrees,surrVal_049_H0278_obsH0033_x0260,0.975,0.10283480958654546,0.029730215083616285,0.58572272025077
ExtraTrees,surrVal_050_H0250_obsH0051_x0277,0.975,0.11757697019949606,0.03428330850270003,0.6905643216015156
ExtraTrees,surrVal_051_H0328_obsH0058_x0225,0.975,0.13098365197277698,0.04207826564940852,0.7724068915265121
ExtraTrees,surrVal_052_H0283_obsH0041_x0316,0.975,0.12425247197316375,0.03879643608266734,0.7293437181764869
ExtraTrees,surrVal_053_H0270_obsH0043_x0296,0.975,0.12070283043610204,0.03689229397658469,0.7305827012366202
ExtraTrees,surrVal_054_H0305_obsH0048_x0343,0.975,0.14649798205203113,0.048785831723822524,0.7878110177935449
ExtraTrees,surrVal_055_H0314_obsH0032_x0267,0.975,0.10100162094803634,0.032597543281614544,0.5938008189219861
ExtraTrees,surrVal_056_H0296_obsH0047_x0299,0.975,0.13216760508162764,0.04248322262311586,0.7633265954652032
