case_name,dataset_split,water_height_m,obstacle_height_m,obstacle_front_x_m,obstacle_width_m,end_time_s,field_write_interval_s,metric_write_interval_s,run_status,final_time_s,mesh_ok,n_pressure_samples_status,n_area_average_samples,n_maximum_samples,peak_area_average_p_rgh_Pa,time_peak_area_average_p_rgh_s,peak_maximum_p_rgh_Pa,time_peak_maximum_p_rgh_s,peak_area_average_alpha_water,time_peak_area_average_alpha_water_s,peak_maximum_alpha_water,time_peak_maximum_alpha_water_s,first_local_wetting_time_s,first_distributed_wetting_time_s,local_wetting_duration_s,distributed_wetting_duration_s,area_average_pressure_impulse_Pa_s,maximum_pressure_impulse_Pa_s,final_area_average_p_rgh_Pa,final_maximum_p_rgh_Pa,final_area_average_alpha_water,final_maximum_alpha_water
surrGrid_H0240_obsH0072_x0380,training_grid,0.24,0.072,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1256.374,0.205,5109.933,0.18,0.999775,0.745,1.0,0.18,0.175,0.53,1.325,0.97,777.8319282649996,1524.8066576445003,509.4317,785.5748,0.6927693,1.0
surrGrid_H0250_obsH0030_x0220,training_grid,0.25,0.03,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1499.999,0.275,3445.961,0.095,0.9998897,0.87,1.0,0.095,0.085,0.14,1.415,1.3599999999999999,889.5022337525003,1487.3764961675006,684.3939,906.6652,0.979514,1.0
surrGrid_H0250_obsH0030_x0250,training_grid,0.25,0.03,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,4530.298,0.325,6982.347,0.325,0.9997978,0.9,1.0,0.11,0.105,0.17,1.395,1.33,930.1415136299994,1536.359592944999,706.6725,861.6465,0.9910497,1.0
surrGrid_H0250_obsH0030_x0275,training_grid,0.25,0.03,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1269.348,0.335,4107.039,0.125,0.999999,0.825,1.0,0.125,0.12,0.2,1.38,1.3,939.2372424250004,1689.8365902899998,704.8023,962.7088,0.9866991,1.0
surrGrid_H0250_obsH0030_x0292,training_grid,0.25,0.03,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1660.777,0.335,4347.684,0.135,0.9999987,0.775,1.0,0.135,0.13,0.225,1.37,1.275,926.6329301085001,1649.225605475001,772.7475,971.8635,0.997083,1.0
surrGrid_H0250_obsH0030_x0320,training_grid,0.25,0.03,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3872.085,0.335,4988.309,0.335,0.9999988,0.785,1.0,0.15,0.145,0.26,1.355,1.24,927.3315160134997,1626.7926954599984,669.1687,999.806,0.9855804,1.0
surrGrid_H0250_obsH0030_x0350,training_grid,0.25,0.03,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2379.557,0.335,4891.237,0.165,0.9999876,0.985,1.0,0.165,0.16,0.32,1.34,1.18,920.0340409470004,1642.1932860470001,639.7096,844.8165,0.9717796,1.0
surrGrid_H0250_obsH0030_x0380,training_grid,0.25,0.03,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3757.085,0.33,5131.528,0.18,0.9999513,1.39,1.0,0.18,0.175,0.52,1.325,0.98,915.7262908984999,1647.3544533007494,676.1165,939.8017,0.997648,1.0
surrGrid_H0250_obsH0036_x0220,training_grid,0.25,0.036,0.22,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2108.054,0.295,3801.326,0.1,0.9878766,0.88,1.0,0.095,0.085,0.15,1.415,1.35,919.7741515399999,1483.9556352274994,741.7371,1018.845,0.9655605,1.0
surrGrid_H0250_obsH0036_x0250,training_grid,0.25,0.036,0.25,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2194.872,0.335,3927.8,0.12,0.9999179,0.69,1.0,0.11,0.105,0.185,1.395,1.315,953.3052649274996,1638.5657688625008,702.1531,762.8305,0.9864682,1.0
surrGrid_H0250_obsH0036_x0275,training_grid,0.25,0.036,0.275,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,4785.289,0.345,6601.5,0.345,0.999928,0.685,1.0,0.125,0.12,0.23,1.38,1.27,970.6693602075002,1712.6206357375004,731.7885,764.996,0.9768306,1.0
surrGrid_H0250_obsH0036_x0292,training_grid,0.25,0.036,0.292,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,1581.172,0.35,4345.121,0.135,0.9999777,0.75,1.0,0.135,0.13,0.275,1.37,1.225,925.6151489562499,1645.2669028599976,718.8314,880.9643,0.9520024,1.0
surrGrid_H0250_obsH0036_x0320,training_grid,0.25,0.036,0.32,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2903.593,0.355,4755.621,0.15,0.9999955,1.01,1.0,0.15,0.145,0.455,1.355,1.045,946.08411611675,1672.9042416649993,809.6531,1019.379,0.9978867,1.0
surrGrid_H0250_obsH0036_x0350,training_grid,0.25,0.036,0.35,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,3619.024,0.355,4846.44,0.17,0.999977,0.84,1.0,0.165,0.16,0.51,1.34,0.99,910.5471100875,1631.0946358114998,653.6528,1019.101,0.9111523,1.0
surrGrid_H0250_obsH0036_x0380,training_grid,0.25,0.036,0.38,0.024,1.5,0.025,0.005,completed,1.5,yes,300,300,300,2000.432,0.355,5181.926,0.18,0.9999908,1.305,1.0,0.18,0.175,0.545,1.325,0.955,908.3956364545005,1617.3335314562503,609.7528,786.3787,0.9999104,1.0
